Unnamed: 0,GEO_ID,per_capita_income,white,black,asian,native,pacific islander,other,Under High School,High School (No College Degree),College or More,"Agriculture, forestry, fishing and hunting, and mining",Construction_and_manufacturing,trade,"Transportation and warehousing, and utilities",nerds,"Educational services, and health care and social assistance",finance_inurance_and_realty,other_services,in_labor_force,out_labor_force,avg_commute_time,avg_housing_cost_burden,avg_poverty_ratio,Congressional_District_118,Congressional_District_116
5902,1500000US371190050001,8431.0,0.0611702127659574,0.7087765957446809,0.0186170212765957,0.0252659574468085,0.0186170212765957,0.1675531914893617,0.2677532013969732,0.3946449359720605,0.3376018626309662,0.0341047503045067,0.0937880633373934,0.1303288672350791,0.1339829476248477,0.2107186358099878,0.1473812423873325,0.146163215590743,0.1035322777101096,0.7597597597597597,0.2402402402402402,20.19337016574585,38.8556338028169,1.9430428134556568,12,12
5903,1500000US371190050002,19836.0,0.2583222370173103,0.3355525965379494,0.099866844207723,0.0186418109187749,0.0186418109187749,0.2689747003994673,0.263803680981595,0.263803680981595,0.4723926380368098,0.0322209436133486,0.097813578826237,0.0943613348676639,0.1611047180667434,0.2347525891829689,0.1139240506329113,0.1852704257767549,0.0805523590333717,0.6935483870967742,0.3064516129032258,22.53061224489795,36.34146341463415,2.2892832529290144,12,12
5904,1500000US371190051001,7255.0,0.0576923076923076,0.6085164835164835,0.2184065934065934,0.0192307692307692,0.0192307692307692,0.0769230769230769,0.4948320413436692,0.3410852713178294,0.1640826873385013,0.037483266398929,0.179384203480589,0.1325301204819277,0.1057563587684069,0.2583668005354752,0.0522088353413654,0.0321285140562249,0.2021419009370816,0.5777777777777777,0.4222222222222222,27.13840399002493,41.98598130841121,1.407149084568439,12,12
5905,1500000US371190051002,4950.0,0.3088235294117647,0.4426470588235294,0.0205882352941176,0.0205882352941176,0.0205882352941176,0.1867647058823529,0.3876050420168067,0.4285714285714285,0.1838235294117647,0.0276134122287968,0.1252465483234714,0.1834319526627219,0.0621301775147929,0.2564102564102564,0.0857988165680473,0.029585798816568,0.2297830374753451,0.6674008810572687,0.3325991189427312,28.42274678111587,42.089136490250695,1.3705844572896595,12,12
5906,1500000US371190052001,14758.0,0.0170575692963752,0.2963752665245202,0.0298507462686567,0.0298507462686567,0.0298507462686567,0.5970149253731343,0.4933035714285714,0.2745535714285714,0.2321428571428571,0.0679611650485436,0.1504854368932038,0.1650485436893204,0.0800970873786407,0.2135922330097087,0.1092233009708737,0.0898058252427184,0.1237864077669902,0.4965034965034965,0.5034965034965035,32.66752577319587,48.24468085106383,1.3827092511013213,14,12
5908,1500000US371190052002,7155.0,0.2455516014234875,0.295373665480427,0.0498220640569395,0.1601423487544484,0.0498220640569395,0.199288256227758,0.5044444444444445,0.3288888888888889,0.1666666666666666,0.0574948665297741,0.1765913757700205,0.1396303901437371,0.1026694045174538,0.1806981519507187,0.0595482546201232,0.0718685831622176,0.2114989733059548,0.6992481203007519,0.3007518796992481,27.166666666666664,44.33070866141732,1.96078431372549,12,12
5909,1500000US371190052003,6495.0,0.2246220302375809,0.4470842332613391,0.0302375809935205,0.0302375809935205,0.0302375809935205,0.2375809935205183,0.347661188369153,0.3261694058154235,0.3261694058154235,0.0331753554502369,0.1386255924170616,0.0876777251184834,0.0473933649289099,0.2725118483412322,0.1492890995260663,0.0509478672985782,0.2203791469194312,0.6806451612903226,0.3193548387096774,30.8450704225352,46.90476190476191,1.8455947136563875,14,12
5911,1500000US371190053011,5971.0,0.1020408163265306,0.2640306122448979,0.0178571428571428,0.0106292517006802,0.0059523809523809,0.5994897959183674,0.4805970149253731,0.2549253731343283,0.2644776119402985,0.0158910329171396,0.2656072644721907,0.1106696935300794,0.0743473325766174,0.1912599318955732,0.1112372304199773,0.0493757094211123,0.1816118047673098,0.6891385767790262,0.3108614232209737,30.33462657613967,49.0,1.4887770897832815,14,12
5913,1500000US371190053012,25691.0,0.0874006810442678,0.079455164585698,0.039727582292849,0.0158910329171396,0.0158910329171396,0.7616345062429057,0.4618585298196949,0.3509015256588072,0.1872399445214979,0.0401721664275466,0.2381635581061693,0.0717360114777618,0.1664275466284074,0.187948350071736,0.0401721664275466,0.152080344332855,0.103299856527977,0.6267605633802817,0.3732394366197183,22.69852941176469,29.522821576763484,1.863868613138686,12,12
5914,1500000US371190053051,8094.0,0.1096997690531177,0.5092378752886836,0.0161662817551963,0.0161662817551963,0.0161662817551963,0.3325635103926097,0.2933204259438529,0.3310745401742497,0.3756050338818973,0.0443740095087163,0.1188589540412044,0.1236133122028526,0.0839936608557844,0.2646592709984152,0.1537242472266244,0.1014263074484944,0.109350237717908,0.3401826484018265,0.6598173515981736,40.700261780104704,37.49357326478149,1.892355694227769,12,12
5915,1500000US371190053052,7170.0,0.0521885521885521,0.2323232323232323,0.0117845117845117,0.0117845117845117,0.0117845117845117,0.6801346801346801,0.5438225976768744,0.2882787750791974,0.1678986272439282,0.0368906455862977,0.3583662714097497,0.0737812911725955,0.1106719367588932,0.1343873517786561,0.0882740447957839,0.0382081686429512,0.1594202898550724,0.6059225512528473,0.3940774487471526,27.560747663551403,55.02145922746781,1.3498552821997103,12,12
5916,1500000US371190053053,6373.0,0.0303239145416953,0.2894555478980014,0.0096485182632667,0.0496209510682288,0.0096485182632667,0.611302549965541,0.3954337899543379,0.3497716894977169,0.2547945205479452,0.0224,0.2856,0.1416,0.088,0.1312,0.1128,0.0552,0.1632,0.6265060240963856,0.3734939759036144,32.707150964812705,42.2189349112426,1.839985126425384,12,12
5917,1500000US371190053061,6900.0,0.0658499234303215,0.2128637059724349,0.0214395099540581,0.1347626339969372,0.0214395099540581,0.5436447166921899,0.4531946508172362,0.3016344725111441,0.2451708766716196,0.0388349514563106,0.2773925104022191,0.174757281553398,0.0790568654646324,0.1248266296809986,0.0970873786407767,0.0388349514563106,0.1692094313453536,0.7103448275862069,0.2896551724137931,31.678321678321662,34.84304932735425,1.8528645833333333,14,12
5919,1500000US371190053062,6334.0,0.0888278388278388,0.2683150183150183,0.0128205128205128,0.1373626373626373,0.0128205128205128,0.4798534798534798,0.5634725634725635,0.1826371826371826,0.2538902538902539,0.0325581395348837,0.2732558139534883,0.0720930232558139,0.0488372093023255,0.3918604651162791,0.0453488372093023,0.041860465116279,0.0941860465116279,0.580078125,0.419921875,37.87410926365794,44.78603603603604,1.697573117610454,14,12
