G_num_comms,Geo_num_comms,G_uni_num_comms,cluster_size_std_Geo,G_modularity_self,Geo_modularity_self,G_uni_modularity_self,G_modularity_GeoPartition,G_modularity_GuniPartition
17,23,16,88.8532912862588,0.2865562682786773,0.5183172147786919,0.14615496944253792,0.010055089876113265,0.15456999197569918
17,22,14,113.77487013563307,0.2868538434107725,0.5182789886666312,0.1560686190732063,0.01138045729750721,0.16418119230486838
15,24,21,102.07594361008321,0.284644987832289,0.5188751278070335,0.1421948045983672,0.009073289393462603,0.15231059112941675
18,19,12,107.31045907104665,0.28764065331322,0.5164145148886512,0.1561122977541709,0.010956007614216667,0.16254076679935964
15,25,16,100.53576478049989,0.2840273072712829,0.5194587316405656,0.1471188354150472,0.00905493085499608,0.1608287766137827
16,21,18,131.78901574562963,0.28492416728661757,0.5163760102100441,0.14395756613737584,0.010379362360278654,0.15272303920052988
16,25,15,104.11147871392473,0.28635596057014695,0.5192289731255438,0.1494420752830216,0.009742412097402352,0.1519210091312488
18,19,16,94.0546196002304,0.2879788793716813,0.5171688730189038,0.1458076838224748,0.010254535312721885,0.15816056518581448
16,22,13,106.36554971084038,0.28638868031835,0.5181812242145631,0.15782221307957905,0.009621619430057795,0.15935497517313457
18,22,14,149.28433267919,0.28815949651080675,0.5166804638263534,0.15117950381235926,0.010823106182413068,0.15647483054391914
16,21,13,103.54553589863326,0.2846948371511465,0.5178350658754478,0.15672436320887909,0.00854172097451187,0.1622761020566792
16,22,12,108.66668462370349,0.28462346740197914,0.5180840640723132,0.15440899641780206,0.010148492253656575,0.16152813508292985
15,23,14,128.34546952001773,0.28492854352345703,0.5188148258029679,0.15801439545461565,0.010233132604825893,0.16306691412927782
16,21,17,150.21749915424036,0.28477002519988864,0.516531507010186,0.14095113003655135,0.010722396904104233,0.14625670327000231
15,22,18,96.30582528316278,0.28536568279807034,0.5182629714867364,0.14155864189294035,0.009473144217907873,0.15529251952565407
15,21,14,122.42378349993888,0.2838541188794898,0.5177762273908901,0.1500491160887455,0.008885988863222824,0.15339592097031168
16,24,20,104.15212398484994,0.28614499645150154,0.519032671579241,0.14114825575135678,0.008250305941431833,0.14666009978583658
17,23,13,95.29014492709538,0.28629576006918805,0.5192415922486384,0.15017063774843645,0.011441022560669504,0.15191102524073144
15,23,20,110.86240386078619,0.284551581502173,0.519113674861285,0.14210839708874015,0.009252165395529015,0.15062944518872076
16,22,18,127.2641961426493,0.2861238550492897,0.5173226076591281,0.14249378052712827,0.010507268763343028,0.1529383318632025
16,23,13,119.38517670079071,0.2854904641563578,0.5193201761388873,0.15460508979867393,0.009435785891393985,0.16124489181173207
17,23,13,141.61504304232307,0.285330813476621,0.5172222269632369,0.1579363023822034,0.010946024094362933,0.16582415911476311
16,20,20,120.2513513437583,0.2842843914516499,0.5184878484993546,0.14311023600642275,0.01018404970501468,0.15102421983980718
17,25,17,99.0858213873206,0.28667392150547044,0.5200571091866001,0.14795798857455272,0.008889175899397889,0.15675028356742907
17,21,17,106.44364439977888,0.28769434698074553,0.5190950387269752,0.14311845611843407,0.00986445349673298,0.15164248493135365
17,24,18,108.26240466518786,0.2860048706289057,0.5180202538612035,0.14190016272218772,0.009796366044380417,0.14771013022772886
16,23,17,125.39275160474568,0.2856288336994525,0.5182456016865594,0.1498523372027956,0.01093035691533676,0.15821528556957576
16,20,20,116.26860066243165,0.28561954091870556,0.517440093268971,0.14187453595719332,0.009624017280789534,0.15245378845936147
16,22,17,113.16638266415188,0.28494277213111585,0.51875553101346,0.14147875944243357,0.009769624934084288,0.15081935392414697
17,22,21,106.61354673355277,0.2874209037952355,0.5189662533754958,0.14104602956098305,0.009313641045268021,0.15049986117782851
16,22,19,117.2545528552698,0.28608269068123215,0.5185628253812632,0.14123719775282156,0.009954042332791312,0.1551251742428087
15,22,16,144.03658999087122,0.28557575102695526,0.5168036509803526,0.1419633651679038,0.011185963076149219,0.15057054473987452
18,23,20,106.0387274547693,0.28649558564520455,0.5187069224291997,0.14206013789816857,0.010038771945412125,0.157145368681369
15,23,15,121.10952096368365,0.28488198488549665,0.5187283677838076,0.14984912538022416,0.009952062854278089,0.16279369175785527
